"Año","Mes","Empresa","Circuito","Tipo Indicador","DPIR","FPI","FMIK","TTIK","FIM","FIP","FIT","DAI","FI","Abonados Por Circuito"
"2022","Diciembre ","ICE","LEESVILLE-GUACIMO","2","4.960000000000001","3.7399999999999998","","","","","","","","12996"
"2022","Diciembre ","ICE","LEESVILLE-GUACIMO","1","4.960000000000001","3.7399999999999998","","","","","","","","12996"
"2022","Diciembre ","ICE","LEESVILLE-CARIARI","3","3.0700000000000003","1.73","","","","","","","","18761"
"2022","Diciembre ","ICE","LEESVILLE-CARIARI","2","5.460000000000001","2.94","","","","","","","","18761"
"2022","Diciembre ","ICE","LEESVILLE-CARIARI","1","5.460000000000001","2.94","","","","","","","","18761"
"2022","Diciembre ","ICE","JUANILAMA-JACO","3","0.36000000000000004","1.12","","","","1","","0.1","1","4096"
"2022","Diciembre ","ICE","JUANILAMA-JACO","2","10.540000000000001","8.339999999999998","","","","3","","0.30000000000000004","3","4096"
"2022","Diciembre ","ICE","JUANILAMA-JACO","1","10.540000000000001","8.339999999999998","","","","3","","0.30000000000000004","3","4096"
"2022","Diciembre ","ICE","JUANILAMA-HERRADURA","3","0.65","0.9400000000000001","","","","","","","","2778"
"2022","Diciembre ","ICE","JUANILAMA-HERRADURA","2","6.200000000000001","4.11","","","","","","","","2778"
"2022","Diciembre ","ICE","JUANILAMA-INDUSTRIAS","3","1.51","0.58","","","","","1","","1","532"
"2022","Diciembre ","ICE","CONCAVAS-RIO MACHO","2","0.43","0.46","","","","","","","","168"
"2022","Diciembre ","ICE","CONCAVAS-RIO MACHO","1","0.43","0.46","","","","","","","","168"
"2022","Diciembre ","ICE","CONCAVAS-LA LUCHA","3","0.16","0.15","","","","","","","","46"
"2022","Diciembre ","ICE","CAÑAS-LA IRMA","3","5.01","2.9699999999999998","","","","","1","","1","3369"
"2022","Diciembre ","ICE","CAÑAS-LA IRMA","2","12.769999999999998","6.539999999999999","","","","","1","","1","3369"
"2022","Diciembre ","ICE","CAÑAS-LA IRMA","1","12.769999999999998","6.539999999999999","","","1","","1","","2","3369"
"2022","Diciembre ","ICE","CAÑAS-GUAYABO","3","2.9","1.97","","","","","","","","2757"
"2022","Diciembre ","ICE","CAÑAS-GUAYABO","2","7.839999999999999","5.08","","","","","","","","2757"
"2022","Diciembre ","ICE","CAÑAS-GUAYABO","1","7.839999999999999","5.08","","","2","","","","2","2757"
"2022","Diciembre ","ICE","CAÑAS-BEBEDERO","3","2.48","1.95","","","","","1","","1","5109"
"2022","Diciembre ","ICE","CAÑAS-BEBEDERO","2","6.84","4.96","","","","","1","","1","5109"
"2022","Diciembre ","ICE","CAÑAS-BEBEDERO","1","6.98","6.220000000000001","","","1","","1","","2","5109"
"2022","Diciembre ","ICE","CAHUITA-COSTANERA","3","2.3800000000000003","1.23","","","","","1","","1","7065"
"2022","Diciembre ","ICE","CAHUITA-COSTANERA","2","5.869999999999999","4.12","","","","","1","","1","7065"
"2022","Diciembre ","ICE","CAHUITA-COSTANERA","1","5.869999999999999","4.12","","","2","","1","","3","7065"
"2022","Diciembre ","ICE","CAHUITA-BRIBRI","3","5.300000000000001","3.49","","","","","1","","1","7972"
