Empresa,Circuito,Abonados,DPIR,FPI
CNFL,BRASIL-CIUDAD COLON,0.20369743018922712,0.210051040439733,0.6399798590130917
CNFL,CAJA-INDUSTRIAS,0.052678701059865454,0.1967020023557126,0.24118831822759312
CNFL,ELECTRIONA-MONTANA,0.01957605381599961,0.18767177071064,0.15156092648539776
CNFL,BARVA-CIPRESAL,0.08868508929003532,0.1849234393404005,0.020140986908358527
CNFL,CORONADO-CASCAJAL,0.23312200551710788,0.13211621515508443,0.5579053373615307
CNFL,DESAMPARADOS-SANTA MARTA,0.33760828534094756,0.1148409893992933,0.3323262839879154
CNFL,ALAJUELITA-LA VERBENA,0.2843972317669264,0.11346682371417352,0.08056394763343405
CNFL,LINDORA-GUACIMA,0.25724725354498373,0.09540636042402825,0.2829808660624371
CNFL,ESTE-SAN DIEGO,0.35408701543822285,0.08755398508048687,0.0020140986908358527
CNFL,DESAMPARADOS-CALLE FALLAS,0.2730726419203407,0.08382410679230468,0.11631419939577037
CNFL,HIGUITO-PATARRÁ,0.2271451386536321,0.06478209658421674,0.0050352467270896595
CNFL,PORROSATI-SANTA BARBARA,0.4109277452451241,0.05045151158225364,0.03222557905337364
CNFL,ESCAZU-JABONCILLOS,0.2649421671586894,0.04731056144483706,0.11933534743202417
CNFL,ANONOS-INDUSTRIAL,0.0756666505347723,0.03651354534746759,0.00805639476334341
CNFL,BRASIL-REFORMA,0.12769200987271936,0.03455045151158226,0.42044310171198396
CNFL,COLIMA-PRIMER AMOR,0.07615060736582296,0.03337259521005104,0.04128902316213495
CNFL,LINDORA-BRASIL,0.021584474664859892,0.022182960345504515,0.3867069486404834
CNFL,SABANILLA-SAN RAFAEL,0.36981561244736966,0.005889281507656052,0.12739174219536759
CNFL,ESCAZÚ-PIEDADES,0.16529545564535644,0.004907734589713386,0.1550855991943606
CNFL,HEREDIA-LOS LAGOS,0.0638339060155834,0.003140950137416554,0.09718026183282985
CNFL,COLIMA-GUADALUPE 2,0.1214489667521657,0.0017667844522968046,0.07854984894259814
ESPH,LOS ANGELES,0.18421816773943764,0.039458186101295645,0.09718026183282985
ICE,PAILAS – HOSPITAL,0.0,1.0,0.9244712990936557
ICE,GARITA-PARRITA,0.04597589894981367,0.8506085590891246,0.8726082578046324
ICE,LIBERIA-URBANO,0.2718143541596089,0.6819787985865724,0.4692849949647533
ICE,MOIN-PUERTO VIEJO,0.12965203503847458,0.4689831173930114,0.23615307150050358
ICE,PARRITA-QUEPOS,0.3355272709674297,0.45524146054181397,0.2109768378650554
ICE,JUANILAMA-JACO,0.19793834389972415,0.4532783667059285,0.4838872104733132
ICE,COBANO - POCHOTE,0.17257900595266903,0.43816254416961137,0.4300100704934542
ICE,SANTA RITA-NOSARA,0.33279291487199336,0.4242245779348253,0.2562940584088621
ICE,TORO-LAGUNA,0.0026617625707786863,0.42088731841382027,0.05438066465256802
ICE,PAPAGAYO-ENLACE LIBERIA,0.012631273290422493,0.4128386336866903,0.5639476334340383
ICE,RIO CLARO-CHACARITA,0.07443256061559309,0.40302316450726355,1.0
ICE,SANTA RITA-RESPALDO NOSARA,0.2831389440061946,0.4000785237534354,0.3056394763343404
ICE,COBANO - LA ESPERANZA,0.05471131975027827,0.38535531998429523,0.5911379657603222
ICE,CAÑAS-LA IRMA,0.15914920389101292,0.37200628190027485,0.19335347432024175
ICE,CAHUITA-BRIBRI,0.3855200116149639,0.3659206910090303,0.4219536757301108
ICE,SAN ISIDRO-QUEPOS,0.5512752262498185,0.3629760502552022,0.3081570996978852
ICE,COBANO - URBANO,0.17882204907322266,0.35394581861012964,0.21550855991943607
ICE,MIRAVALLES-DEL ORO,0.33724531771765953,0.347860227718885,0.27341389728096677
